0.12120E+00 0.32187E-03 0.00000E+01 162898 0 0 9010 0.74310E+05 0.00000E+01 0.12120E+00 0.00000E+01 0.00000E+01 0
1 0.12436 0.0022748 1.221 0.92323 0.12436
2 0.12274 0.00089369 0.68739 0.38525 0.12274
3 0.12151 0.00040457 0.44451 0.26211 0.12151
4 0.12414 0.0022308 1.1995 0.75863 0.12414
5 0.1198 0.00087027 0.68577 0.37534 0.1198
6 0.12147 0.00040343 0.44339 0.26747 0.12147
7 0.12802 0.0092549 3.4122 4.553 0.12802
8 0.1205 0.0022802 1.2632 0.8759 0.1205
9 0.12114 0.00091329 0.7117 0.39686 0.12114
10 0.12425 0.002249 1.2082 0.82437 0.12425
11 0.12076 0.00088513 0.69195 0.4373 0.12076
12 0.1214 0.0004119 0.45298 0.28147 0.1214
13 0.10213 0.0075135 3.4727 4.3732 0.10213
14 0.11801 0.0023997 1.3574 1.0836 0.11801
15 0.11991 0.00095385 0.75097 0.48731 0.11991
16 0.11857 0.0087859 3.4976 4.4485 0.11857
17 0.12044 0.0022925 1.2706 0.89698 0.12044
18 0.1227 0.00092478 0.71148 0.43841 0.1227
19 0.11453 0.0088678 3.6546 4.3056 0.11453
20 0.12032 0.0022964 1.274 1.0044 0.12032
21 0.12113 0.00090052 0.7018 0.38776 0.12113
